"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths_an_c","death_min_an_c","death_max_an_c","estimated_deaths","death_min","death_max","rt","rt_min","rt_max"
"1",2020-02-15,"Germany",0,0,19.441145135585,7.41305702201908,39.6550567193951,19.441145135585,7.41305702201908,39.6550567193951,0,0,1.9441145135585e-14,7.41305702201909e-15,3.96550567193951e-14,5.41079217550258e-16,1.34277725325843e-16,9.71834684065675e-16,1.9441145135585e-14,7.41305702201909e-15,3.96550567193951e-14,4.30117147410505,3.74344961317019,5.05821417803753
"2",2020-02-16,"Germany",0,0,38.88229027117,14.8261140440382,79.3101134387901,19.441145135585,7.41305702201908,39.6550567193951,0,0,2.92373541019712e-07,1.23220148121452e-07,5.41711718056982e-07,2.92373522119647e-07,1.23220140842673e-07,5.4171167937376e-07,2.92373521578567e-07,1.23220140708395e-07,5.41711678401925e-07,4.30117147410505,3.74344961317019,5.05821417803753
"3",2020-02-17,"Germany",0,0,58.323435406755,22.2391710660573,118.965170158185,19.441145135585,7.41305702201908,39.6550567193951,0,0,7.74789834127318e-06,3.26533373618553e-06,1.43553595173061e-05,7.74789832237312e-06,3.26533372890675e-06,1.43553594786229e-05,7.45552480025347e-06,3.14211358806408e-06,1.38136477992491e-05,4.30117147410505,3.74344961317019,5.05821417803753
"4",2020-02-18,"Germany",0,0,77.76458054234,29.6522280880763,158.62022687758,19.441145135585,7.41305702201908,39.6550567193951,0,0,5.95954695012058e-05,2.51163720218076e-05,0.000110418897153914,5.95954694823057e-05,2.51163720145288e-05,0.000110418897115231,5.18475711599326e-05,2.18510382856221e-05,9.60635376366081e-05,4.30117147410505,3.74344961317019,5.05821417803753
"5",2020-02-19,"Germany",0,0,97.2057256779249,37.0652851100954,198.275283596975,19.441145135585,7.41305702201908,39.6550567193951,0,0,0.000262965618219231,0.000110826248229556,0.00048722451212232,0.000262965618200331,0.000110826248222277,0.000487224512083637,0.000203370148718025,8.57098762077479e-05,0.000376805614968406,4.30117147410505,3.74344961317019,5.05821417803753
"6",2020-02-20,"Germany",0,0,116.64687081351,44.4783421321145,237.93034031637,19.441145135585,7.41305702201908,39.6550567193951,0,0,0.000841621546343479,0.000354699443381588,0.00155936220895946,0.000841621546324579,0.000354699443374309,0.00155936220892078,0.000578655928124248,0.000243873195152032,0.00107213769683714,4.30117147410505,3.74344961317019,5.05821417803753
"7",2020-02-21,"Germany",0,0,159.888244190547,64.0723798046473,318.445609589786,43.241373377037,19.5940376725328,80.5152692734156,0,0,0.00217598993436793,0.000917065897229644,0.00403168916654598,0.00217598993434903,0.000917065897222366,0.0040316891665073,0.00133436838802445,0.000562366453848057,0.00247232695758652,4.30116565957846,3.74344005536513,5.05821061020877
"8",2020-02-22,"Germany",0,0,212.776782535141,88.3145516284935,416.187693299538,52.8885383445941,24.2421718238462,97.7420837097524,0,0,0.00482488546184979,0.00203348923262261,0.0089394718863579,0.00482488546183089,0.00203348923261533,0.00893947188631922,0.00264889552748186,0.00111642333539296,0.00490778271981192,4.30116349045481,3.74343688122108,5.05820900861469
"9",2020-02-23,"Germany",0,0,279.686549465662,120.002371561759,537.147244580111,66.9097669305208,31.6878199332653,120.959551280573,0,0,0.00950389643343326,0.00400680207517376,0.0176059588233575,0.00950389643341436,0.00400680207516648,0.0176059588233188,0.00467901097158347,0.00197331284255115,0.00866648693699963,4.30116083632425,3.74343302575568,5.05820702461963
"10",2020-02-24,"Germany",0,0,366.025377415493,162.562128284889,689.037624508609,86.3388279498309,42.5597567231299,151.890379928498,0,0,0.0171475082046493,0.00723794446325959,0.0317478370185058,0.0171475082046304,0.00723794446325232,0.0317478370184671,0.00764361177121602,0.00323114238808584,0.0141418781951482,4.30115747461419,3.74342824649998,5.05820442228905
"11",2020-02-25,"Germany",0,0,478.112762067395,220.280629286477,881.002491538509,112.087384651902,57.7185010015882,191.9648670299,0,0,0.0288941175871136,0.012228904924053,0.0534285052556333,0.0288941175870947,0.0122289049240458,0.0534285052555946,0.0117466093824643,0.00499096046079344,0.0216806682371276,4.30115313043641,3.74342223553637,5.05820091520384
